date,daily_arrivals_qtl,daily_farmer_count,arrival_record_count,daily_avg_modal_price,daily_avg_msp,daily_price_crash_count,price_record_count,daily_price_crash_rate
2026-01-01,1153.1299999999999,423.0,4.0,2512.892462307528,2386.8333333333335,1.0,6.0,16.666666666666664
2026-01-02,1467.53,635.0,5.0,2212.54,2090.0,0.0,1.0,0.0
2026-01-03,1806.54,366.0,6.0,3818.2269724503462,3662.0,1.0,3.0,33.33333333333333
2026-01-04,1118.6,396.0,4.0,3961.5501131587944,3597.0,0.0,5.0,0.0
2026-01-05,1290.68,274.0,4.0,4782.305,4447.5,1.0,2.0,50.0
2026-01-06,,,,2945.025,2887.5,1.0,2.0,50.0
2026-01-07,835.4100000000001,195.0,4.0,2149.8269313383103,2136.5,2.0,4.0,50.0
2026-01-08,295.87,307.0,3.0,6395.555,6620.0,4.0,4.0,100.0
2026-01-09,1012.59,211.0,4.0,2617.93,2591.0,1.0,3.0,33.33333333333333
2026-01-10,1082.85,188.0,4.0,3225.6055747405044,3179.8571428571427,1.0,7.0,14.285714285714285
2026-01-11,340.89,151.0,2.0,3883.17810049473,3631.0,0.0,3.0,0.0
2026-01-12,,,,3136.046,3107.2,1.0,5.0,20.0
2026-01-13,628.83,153.0,3.0,4986.961798165463,4786.666666666667,0.0,3.0,0.0
2026-01-14,1774.17,649.0,7.0,3405.867631264597,3379.0,2.0,4.0,50.0
2026-01-15,254.52,0.0,1.0,7319.07,6620.0,0.0,1.0,0.0
2026-01-16,1471.5700000000002,408.0,4.0,4013.9700000000003,3916.5,1.0,2.0,50.0
2026-01-17,,,,3793.0,3500.0,0.0,1.0,0.0
2026-01-18,217.1,0.0,1.0,3498.2339999999995,3578.6,4.0,5.0,80.0
2026-01-19,636.95,66.0,2.0,3397.1225,3425.0,3.0,4.0,75.0
2026-01-20,,,,7237.88,6620.0,0.0,1.0,0.0
2026-01-21,421.14,205.0,3.0,4014.42,3916.25,2.0,4.0,50.0
2026-01-22,1295.9,208.0,4.0,3615.281428571429,3463.714285714286,1.0,7.0,14.285714285714285
2026-01-23,1574.15,620.0,5.0,2163.0,2275.0,1.0,1.0,100.0
2026-01-24,605.6,139.0,3.0,2523.6068549511833,2622.0,2.0,3.0,66.66666666666666
2026-01-25,811.06,295.0,3.0,2237.755760696401,2252.0,3.0,4.0,75.0
2026-01-26,370.76,133.0,2.0,1947.0,2183.0,1.0,1.0,100.0
2026-01-27,1848.43,624.0,7.0,5144.087142857143,5075.0,4.0,7.0,57.14285714285714
2026-01-28,1262.3,343.0,4.0,3858.805,3916.5,1.0,2.0,50.0
2026-01-29,301.74,187.0,2.0,3728.715,3500.0,0.0,2.0,0.0
2026-01-30,1606.53,504.0,6.0,3988.38,3621.5,0.0,4.0,0.0
2026-01-31,358.61,0.0,1.0,3289.650973175714,3379.0,2.0,4.0,50.0
2026-02-01,224.16,24.0,2.0,3986.4449999999997,3962.5,1.0,2.0,50.0
2026-02-02,902.36,293.0,3.0,2562.882857142857,2625.1428571428573,6.0,7.0,85.71428571428571
2026-02-03,1488.15,250.0,5.0,4456.116,4457.0,1.0,5.0,20.0
2026-02-04,432.89,32.0,1.0,3553.7433333333333,3400.0,2.0,3.0,66.66666666666666
2026-02-05,771.81,363.0,3.0,5196.281123398197,5048.75,2.0,4.0,50.0
2026-02-06,742.48,38.0,2.0,5292.584804381098,5052.5,1.0,6.0,16.666666666666664
2026-02-07,844.86,248.0,3.0,3340.0033333333336,3369.3333333333335,2.0,3.0,66.66666666666666
2026-02-08,116.03,132.0,1.0,4691.283333333334,4525.0,1.0,3.0,33.33333333333333
2026-02-09,928.5500000000001,326.0,3.0,3597.49625,3699.375,5.0,8.0,62.5
2026-02-10,1286.3600000000001,402.0,4.0,3839.2025000000003,3962.5,3.0,4.0,75.0
2026-02-11,109.08,65.0,1.0,4342.3710733956195,3939.5,0.0,4.0,0.0
2026-02-12,236.02,63.0,1.0,4024.445,3708.25,0.0,4.0,0.0
2026-02-13,299.12,210.0,2.0,4186.1375,4222.5,3.0,4.0,75.0
2026-02-14,,,,4868.1125,4511.25,0.0,4.0,0.0
2026-02-15,867.06,32.0,2.0,4562.258426957053,4465.0,2.0,4.0,50.0
2026-02-16,878.72,357.0,6.0,2204.2325,2205.75,2.0,4.0,50.0
2026-02-17,484.28,140.0,1.0,2265.51,2182.5,0.0,2.0,0.0
2026-02-18,1482.56,618.0,6.0,4757.41,4540.0,0.0,3.0,0.0
2026-02-19,33.19,68.0,1.0,2211.2871923632647,2213.3333333333335,2.0,3.0,66.66666666666666
2026-02-20,1060.52,362.0,6.0,3845.7773723533433,3807.1428571428573,3.0,7.0,42.857142857142854
2026-02-21,795.49,252.0,5.0,2197.55,2183.0,0.0,1.0,0.0
2026-02-22,488.08000000000004,85.0,2.0,2179.345,2136.5,1.0,2.0,50.0
2026-02-23,1419.39,461.0,6.0,2440.3875,2512.0,3.0,4.0,75.0
2026-02-24,1851.97,327.0,5.0,3770.39125,3627.25,5.0,8.0,62.5
2026-02-25,381.33,17.0,1.0,2224.4139999999998,2201.0,2.0,5.0,40.0
2026-02-26,532.53,175.0,2.0,2246.0,2182.5,0.0,2.0,0.0
2026-02-27,615.8199999999999,39.0,2.0,2153.17,2183.0,1.0,1.0,100.0
2026-02-28,489.82,142.0,2.0,2690.2650000000003,2795.0,1.0,2.0,50.0
