mandi_id,mandi_name,district,state,total_arrival_qty_qtl,arrival_record_count,farmer_count,avg_modal_price,avg_msp,price_below_msp_count,price_record_count,price_below_msp_rate,arrival_volume_rank,price_performance_rank,price_crash_rate_rank
MANDI026,Tadipatri Mandi,Hisar,Haryana,26813.07,99,5874.0,4040.900280309534,3953.2897196261683,47,107,43.925233644859816,1.0,4.0,47.0
MANDI037,Jorhat Grain Market,Kurukshetra,Haryana,26356.65,103,6567.0,3530.930910415687,3461.1162790697676,30,86,34.883720930232556,2.0,51.0,8.0
MANDI032,Chapra Grain Market,,Haryana,25971.88,97,6473.0,3967.7352977333408,3881.7821782178216,38,101,37.62376237623762,3.0,12.0,15.0
MANDI008,Bijapur Market,Amritsar,Punjab,25909.66,108,6684.0,3714.6315860321483,3643.9380530973453,49,113,43.36283185840708,4.0,42.0,44.0
MANDI022,Eluru APMC,Karnal,Haryana,25349.99,101,6750.0,3751.5568390739904,3670.5416666666665,39,96,40.625,5.0,34.0,31.0
MANDI044,Dehri Mandi,Agra,Uttar Pradesh,25098.09,97,6483.0,3835.9946901304475,3752.021978021978,38,91,41.75824175824176,6.0,25.0,39.0
MANDI056,Bilaspur Mandi,Bareilly,Uttar Pradesh,24917.11,103,7805.0,4027.2782400557835,3953.3888888888887,43,108,39.81481481481482,7.0,5.0,26.0
MANDI002,Solapur Mandi,Ludhiana,,24843.53,100,6110.0,4041.544636536154,3915.478260869565,39,115,33.91304347826087,8.0,3.0,5.0
MANDI029,Asansol Grain Market,SIRSA,Haryana,24817.78,91,5422.0,3658.40214840284,3591.84375,53,128,41.40625,9.0,45.0,35.0
MANDI033,South Dumdum Grain Market,AMBALA,Haryana,24667.23,93,6403.0,3899.9929042658155,3820.6,41,105,39.04761904761905,10.0,20.0,21.0
MANDI011,Arrah Mandi,Patiala,Punjab,24466.27,90,6768.0,3630.503007952908,3513.765306122449,34,98,34.69387755102041,11.0,49.0,6.0
MANDI009,Jamshedpur APMC,Jalandhar,Punjab,24406.08,97,5829.0,3715.59441771292,3559.01,32,100,32.0,12.0,41.0,4.0
MANDI012,Gaya Grain Market,Patiala,Punjab,24336.7,102,7121.0,3923.3583358528244,3804.4942528735633,33,87,37.93103448275862,13.0,16.0,18.0
MANDI057,Gorakhpur APMC,Bareilly,,24329.27,106,6180.0,3769.722116080963,3661.735294117647,31,102,30.392156862745097,14.0,32.0,1.0
MANDI010,Dhule APMC,Jalandhar,Punjab,24253.77,98,6594.0,3649.4669888085355,3559.0423728813557,43,118,36.440677966101696,15.0,47.0,9.0
MANDI054,Nangloi Jat Grain Market,Saharanpur,,24072.96,90,5458.0,3848.742490519822,3755.0,40,100,40.0,16.0,23.0,27.0
