date,avg_temperature_celsius,min_temperature_celsius,max_temperature_celsius,total_rainfall_mm,avg_rainfall_mm,max_rainfall_mm,avg_humidity_pct,sensor_count,rainfall_day_flag,total_arrivals_qtl
2026-01-07,31.2,31.2,31.2,13.97,13.97,13.97,56.0,1,1,835.4100000000001
2026-01-08,30.33888888888889,25.27777777777778,35.4,59.900000000000006,29.950000000000003,43.2,66.0,2,1,295.87
2026-01-10,25.8,25.8,25.8,7.2,7.2,7.2,50.0,1,1,1082.85
2026-01-13,16.8,16.8,16.8,21.7,21.7,21.7,36.0,1,1,628.83
2026-01-15,23.1,23.1,23.1,23.9,23.9,23.9,51.0,1,1,254.52
2026-01-19,37.888888888888886,37.888888888888886,37.888888888888886,0.0,,,75.0,1,0,636.95
2026-01-22,24.0,24.0,24.0,11.9,11.9,11.9,85.0,1,1,1295.9
2026-01-24,21.0,21.0,21.0,43.9,43.9,43.9,79.0,1,1,605.6
2026-01-25,24.05,22.1,26.0,44.804,22.402,38.2,72.5,2,1,811.06
2026-01-27,22.049999999999997,21.9,22.2,61.6,30.8,37.0,52.0,2,1,1848.43
2026-01-30,21.748148148148147,18.22222222222222,26.8,83.69800000000001,27.899333333333335,44.4,70.0,3,1,1606.53
2026-01-31,26.9,26.9,26.9,24.5,24.5,24.5,95.0,1,1,358.61
2026-02-03,29.38888888888889,29.0,29.77777777777778,55.586,27.793,40.6,47.5,2,1,1488.15
2026-02-04,19.7,19.7,19.7,13.7,13.7,13.7,48.0,1,1,432.89
2026-02-07,33.95,31.5,36.4,10.832,5.416,8.8,73.5,2,1,844.86
2026-02-08,26.45,24.5,28.4,36.8,18.4,26.2,42.0,2,1,116.03
2026-02-10,27.1,22.0,32.2,74.7,37.35,41.2,44.0,2,1,1286.3600000000001
2026-02-12,24.5,17.2,31.8,56.476000000000006,28.238000000000003,49.276,34.0,2,1,236.02
2026-02-19,25.1,25.1,25.1,36.57599999999999,36.57599999999999,36.57599999999999,70.0,1,1,33.19
2026-02-20,21.7,21.7,21.7,0.0,,,65.0,1,0,1060.52
2026-02-25,22.88888888888889,22.88888888888889,22.88888888888889,12.954,12.954,12.954,,1,1,381.33
2026-02-28,22.844444444444445,20.3,25.38888888888889,58.58,29.29,43.18,58.0,2,1,489.82
2026-03-01,22.644444444444446,17.61111111111111,30.1,103.1,34.36666666666667,42.2,61.0,3,1,247.62
2026-03-02,35.611111111111114,35.611111111111114,35.611111111111114,22.1,22.1,22.1,39.0,1,1,1035.29
2026-03-04,31.72222222222222,31.72222222222222,31.72222222222222,26.2,26.2,26.2,61.0,1,1,63.88
2026-03-05,22.144444444444446,19.9,24.388888888888893,80.2,40.1,45.6,68.0,2,1,741.94
2026-03-06,31.38888888888889,31.38888888888889,31.38888888888889,20.574,20.574,20.574,33.0,1,1,72.29
2026-03-07,34.111111111111114,34.111111111111114,34.111111111111114,36.8,36.8,36.8,84.0,1,1,349.86
2026-03-08,37.6,37.6,37.6,3.1,3.1,3.1,48.0,1,1,537.31
2026-03-11,26.91666666666667,17.72222222222222,36.11111111111112,45.212,22.606,41.402,85.0,2,1,191.49
2026-03-12,34.45,29.5,39.4,73.916,36.958,39.116,87.0,2,1,202.31
2026-03-13,24.338888888888892,23.277777777777786,25.4,22.8,11.4,19.8,53.5,2,1,547.14
2026-03-16,28.72222222222222,28.72222222222222,28.72222222222222,16.7,16.7,16.7,77.0,1,1,1256.63
2026-03-17,21.8,21.8,21.8,28.9,28.9,28.9,47.0,1,1,583.9200000000001
2026-03-18,34.2,34.2,34.2,18.5,18.5,18.5,,1,1,1522.74
2026-03-19,30.7,30.7,30.7,34.0,34.0,34.0,63.0,1,1,584.27
2026-03-20,30.5,30.5,30.5,30.4,30.4,30.4,45.0,1,1,401.94
2026-03-21,34.0,34.0,34.0,47.498,47.498,47.498,45.0,1,1,599.13
2026-03-22,26.8,26.8,26.8,42.926,42.926,42.926,48.0,1,1,653.59
2026-03-24,32.72222222222222,32.72222222222222,32.72222222222222,41.148,41.148,41.148,78.0,1,1,393.39
2026-03-26,30.2,27.5,32.9,88.0,44.0,48.5,38.0,2,1,395.49
2026-03-27,33.2,33.2,33.2,0.0,,,74.0,1,0,582.12
2026-03-28,16.0,16.0,16.0,34.6,34.6,34.6,,1,1,298.67
2026-03-29,27.34444444444444,18.8,35.888888888888886,58.0,29.0,47.8,61.5,2,1,147.2
2026-03-30,30.45,27.5,33.4,18.4,18.4,18.4,84.0,2,1,1297.22
2026-03-31,39.2,39.2,39.2,31.0,31.0,31.0,71.0,1,1,882.31
2026-04-03,26.75,21.8,31.7,39.7,19.85,24.9,65.5,2,1,1403.57
2026-04-04,31.72222222222222,31.72222222222222,31.72222222222222,19.6,19.6,19.6,39.0,1,1,858.79
2026-04-05,30.703703703703706,27.61111111111111,35.0,50.4,16.8,21.1,47.0,2,1,84.39
2026-04-06,27.5,27.5,27.5,3.3,3.3,3.3,94.0,1,1,606.99
2026-04-07,15.9,15.9,15.9,28.4,28.4,28.4,74.0,1,1,955.24
2026-04-08,38.9,38.9,38.9,15.239999999999998,15.239999999999998,15.239999999999998,40.0,1,1,571.59
2026-04-09,35.35,31.1,39.6,86.7,43.35,48.7,73.0,2,1,863.23
2026-04-13,35.340740740740735,30.5,38.22222222222222,55.11399999999999,18.37133333333333,35.81399999999999,71.33333333333333,3,1,375.73
2026-04-16,39.9,39.9,39.9,32.7,32.7,32.7,62.0,1,1,1170.65
2026-04-19,26.888888888888893,26.888888888888893,26.888888888888893,25.9,25.9,25.9,54.0,1,1,258.11
2026-04-20,36.7,36.7,36.7,19.7,19.7,19.7,37.0,1,1,685.24
2026-04-23,37.27777777777778,37.27777777777778,37.27777777777778,37.7,37.7,37.7,51.0,1,1,1319.34
2026-04-26,31.72222222222222,31.72222222222222,31.72222222222222,27.5,27.5,27.5,50.0,1,1,1166.72
2026-04-28,18.3,18.3,18.3,0.0,,,49.0,1,0,1547.05
2026-04-29,28.9,28.9,28.9,14.8,14.8,14.8,71.0,1,1,1347.35
2026-04-30,36.07037037037037,31.61111111111111,39.1,60.396,20.132,31.496,71.33333333333333,3,1,602.0699999999999
2026-05-02,20.1,20.1,20.1,4.0,4.0,4.0,68.0,1,1,497.28
2026-05-03,20.11111111111111,20.11111111111111,20.11111111111111,3.7,3.7,3.7,46.0,1,1,648.3
2026-05-04,25.450000000000003,21.6,29.3,71.458,35.729,44.958,52.0,2,1,768.81
2026-05-11,28.9,28.9,28.9,25.0,25.0,25.0,34.0,1,1,584.59
2026-05-16,21.994444444444447,20.1,23.88888888888889,0.0,,,79.0,2,0,680.56
2026-05-17,24.3,24.3,24.3,27.3,27.3,27.3,60.0,1,1,28.66
2026-05-18,19.77777777777777,19.77777777777777,19.77777777777777,29.972,29.972,29.972,76.0,1,1,927.5799999999999
2026-05-20,33.511111111111106,33.22222222222222,33.8,88.80000000000001,44.400000000000006,45.6,43.0,2,1,577.26
2026-05-21,19.111111111111114,19.111111111111114,19.111111111111114,36.2,36.2,36.2,32.0,1,1,603.6899999999999
2026-05-22,29.38888888888889,29.38888888888889,29.38888888888889,48.768,48.768,48.768,49.0,1,1,877.0
2026-05-23,19.222222222222214,19.222222222222214,19.222222222222214,34.5,34.5,34.5,63.0,1,1,1136.28
2026-05-26,19.95,17.9,22.0,61.5,30.75,46.5,36.0,2,1,789.41
2026-05-27,25.72222222222222,25.72222222222222,25.72222222222222,18.6,18.6,18.6,74.0,1,1,1811.9
2026-05-29,17.25,15.5,19.0,14.100000000000001,7.050000000000001,7.9,80.0,2,1,549.8499999999999
2026-05-30,37.22222222222222,37.22222222222222,37.22222222222222,35.6,35.6,35.6,,1,1,767.95
2026-05-31,19.9,19.9,19.9,18.0,18.0,18.0,51.0,1,1,900.05
2026-06-01,27.722222222222225,27.722222222222225,27.722222222222225,1.4,1.4,1.4,71.0,1,1,574.9200000000001
2026-06-02,23.000000000000004,23.000000000000004,23.000000000000004,0.6,0.6,0.6,59.0,1,1,675.65
2026-06-07,22.7,22.7,22.7,13.4,13.4,13.4,64.0,1,1,736.0699999999999
2026-06-08,40.0,40.0,40.0,3.302,3.302,3.302,65.0,1,1,570.3299999999999
2026-06-10,30.9,30.9,30.9,36.57599999999999,36.57599999999999,36.57599999999999,38.0,1,1,1021.96
2026-06-11,31.0,31.0,31.0,39.8,39.8,39.8,85.0,1,1,576.06
2026-06-13,20.4,20.4,20.4,47.2,47.2,47.2,58.0,1,1,574.8000000000001
2026-06-16,26.25,24.9,27.6,65.30000000000001,32.650000000000006,36.2,62.5,2,1,1015.2
