arrival_id,date,mandi_id,crop_name,variety,arrival_quantity,unit,farmer_count,source_file,row_index_raw,mandi_id_raw,mandi_id_status,crop_name_raw,arrival_quantity_raw,quantity_quintals,unit_extracted,unit_status,negative_quantity_flag,unit_conflict_flag,unit_unresolvable,missing_variety,missing_farmer_count,surrogate_id,is_duplicate
ARR0012424,06-04-2026,MANDI026,Wheat,Hybrid,44.841,T,128.0,track3_mandi_arrivals.csv,0,MANDI026,normalized,गेहूं,44.841,448.41,T,resolved_separate,0,0,0,0,0,0,0
ARR0008271,2026-06-02,MANDI014,Wheat,HD-2967,332.54,Qtl,33.0,track3_mandi_arrivals.csv,1,MANDI014,normalized,Gehun,332.54,332.54,Qtl,resolved_separate,0,0,0,0,0,0,0
ARR0022724,08-16-2026,MANDI056,Wheat,HD-2967,415.88 qtl,,,track3_mandi_arrivals.csv,2,056,normalized,Kanak,415.88 qtl,415.88,qtl,resolved,0,0,0,0,1,0,0
ARR0012573,06-24-2026,MANDI019,REQUIRES_INVESTIGATION,,-107.13,KG,112.0,track3_mandi_arrivals.csv,3,MANDI019,normalized,Maize,-107.13,,-107.13,negative,1,0,0,1,0,0,0
ARR0012098,09.08.2026,MANDI050,Corn,Premium,-331.59,Qtl,,track3_mandi_arrivals.csv,4,mandi050,normalized,Corn,-331.59,,-331.59,negative,1,0,0,0,1,0,0
ARR0013701,2026-03-31,MANDI049,Sugarcane,Local,119.93,Q,105.0,track3_mandi_arrivals.csv,5,mandi_049,normalized,Ganne,119.93,119.93,Q,resolved_separate,0,0,0,0,0,0,0
ARR0010753,10/07/2026,MANDI054,Cotton,HD-2967,187.68,qtl,45.0,track3_mandi_arrivals.csv,6,MANDI-054,normalized,Kapas,187.68,187.68,qtl,resolved_separate,0,0,0,0,0,0,0
ARR0022123,15/07/2026,MANDI045,Mustard,Hybrid,393.67 qtl,,24.0,track3_mandi_arrivals.csv,7,MANDI045,normalized,Sarso,393.67 qtl,393.67,qtl,resolved,0,0,0,0,0,0,0
ARR0003275,04-08-2026,MANDI029,REQUIRES_INVESTIGATION,PBW-343,14.84,Quintals,129.0,track3_mandi_arrivals.csv,8,mandi029,normalized,Sarson,14.84,14.84,Quintals,resolved_separate,0,0,0,0,0,0,0
ARR0002542,2026-08-14,MANDI010,Mustard,Pusa-1121,93.28,qtl,109.0,track3_mandi_arrivals.csv,9,MANDI010,normalized,Mustard,93.28,93.28,qtl,resolved_separate,0,0,0,0,0,0,0
ARR0016719,2026-05-25,MANDI044,REQUIRES_INVESTIGATION,PBW-343,3.8369999999999997,tonnes,80.0,track3_mandi_arrivals.csv,10,mandi_044,normalized,Maize,3.8369999999999997,38.37,tonnes,resolved_separate,0,0,0,0,0,0,0
ARR0019527,02/08/2026,MANDI042,Corn,HD-2967,17077.0,kg,26.0,track3_mandi_arrivals.csv,11,MANDI042,normalized,corn,17077.0,170.77,kg,resolved_separate,0,0,0,0,0,0,0
ARR0009636,31/03/2026,MANDI056,Corn,HD-2967,37.3,quintal,,track3_mandi_arrivals.csv,12,MANDI-056,normalized,corn,37.3,37.3,quintal,resolved_separate,0,0,0,0,1,0,0
ARR0010366,16/01/2026,MANDI011,Sugarcane,Pusa-1121,44.83,Q,65.0,track3_mandi_arrivals.csv,13,MANDI011,normalized,Ganne,44.83,44.83,Q,resolved_separate,0,0,0,0,0,0,0
ARR0005837,27.06.2026,MANDI025,Wheat,,45.474000000000004,tonnes,,track3_mandi_arrivals.csv,14,025,normalized,GEHUN,45.474000000000004,454.74,tonnes,resolved_separate,0,0,0,1,1,0,0
ARR0002387,18.01.2026,MANDI050,Sugarcane,HD-2967,1518.0,KGS,,track3_mandi_arrivals.csv,15,MANDI050,normalized,Ganne,1518.0,15.18,KGS,resolved_separate,0,0,0,0,1,0,0
ARR0024112,2026-08-09,MANDI006,Mustard,,34.63,quintal,102.0,track3_mandi_arrivals.csv,16,MANDI006,normalized,सरसों,34.63,34.63,quintal,resolved_separate,0,0,0,1,0,0,0
