mandi_id,mandi_name,district,state,mandi_type,total_area_acres,mandi_id_raw,mandi_id_status,missing_district,missing_state,missing_mandi_type,missing_total_area,source_file,row_index_raw,is_duplicate
MANDI001,Hyderabad Mandi,ludhiana,Punjab,Private,11.0,MANDI001,normalized,0,0,0,0,track3_mandi_master.csv,0,0
MANDI006,Kochi Mandi,Amritsar,Punjab,Direct,34.0,MANDI006,normalized,0,0,0,0,track3_mandi_master.csv,1,0
MANDI037,Jorhat Grain Market,Kurukshetra,Haryana,APMC,,MANDI037,normalized,0,0,0,1,track3_mandi_master.csv,2,0
MANDI046,Baranagar Market,,Uttar Pradesh,Private,13.0,MANDI046,normalized,1,0,0,0,track3_mandi_master.csv,3,0
MANDI014,Bathinda Grain Market,Patiala,Punjab,PRIVATE,25.0,MANDI014,normalized,0,0,0,0,track3_mandi_master.csv,4,0
MANDI055,Chandigarh APMC,Bareilly,Uttar Pradesh,apmc,12.0,MANDI055,normalized,0,0,0,0,track3_mandi_master.csv,5,0
MANDI034,Ludhiana Grain Market,Ambala,Haryana,,11.0,MANDI034,normalized,0,0,1,0,track3_mandi_master.csv,6,0
MANDI049,Machilipatnam Mandi,Muzaffarnagar,Uttar Pradesh,Private,39.0,MANDI049,normalized,0,0,0,0,track3_mandi_master.csv,7,0
MANDI013,Aurangabad Market,Patiala,Punjab,Private,25.0,MANDI013,normalized,0,0,0,0,track3_mandi_master.csv,8,0
MANDI047,Orai Market,Muzaffarnagar,Uttar Pradesh,APMC,,MANDI047,normalized,0,0,0,1,track3_mandi_master.csv,10,0
MANDI051,Gulbarga Market,Saharanpur,Uttar Pradesh,Private,11.0,MANDI051,normalized,0,0,0,0,track3_mandi_master.csv,11,0
MANDI032,Chapra Grain Market,,Haryana,PRIVATE,20.0,MANDI032,normalized,1,0,0,0,track3_mandi_master.csv,12,0
MANDI004,Khandwa Grain Market,Ludhiana,Punjab,APMC,15.0,MANDI004,normalized,0,0,0,0,track3_mandi_master.csv,13,0
MANDI053,Panihati Market,Saharanpur,Uttar Pradesh,APMC,,MANDI053,normalized,0,0,0,1,track3_mandi_master.csv,14,0
MANDI018,Jaunpur Mandi,MOGA,Punjab,,9.0,MANDI018,normalized,0,0,1,0,track3_mandi_master.csv,15,0
