record_id,date,mandi_id,district,crop_name,min_price,max_price,modal_price,msp,source_file,row_index_raw,mandi_id_raw,mandi_id_status,crop_name_raw,min_price_raw,min_price_status,max_price_raw,max_price_status,modal_price_raw,modal_price_status,msp_raw,msp_status,missing_mandi_id,missing_district
PR001650,2026/07/26,MANDI005,,Cotton,6850.985817820893,7570.17,7210.58,6620.0,track3_price_and_msp.json,0,MANDI005,normalized,Kapas,6850.985817820893,resolved,"₹7,570.17",resolved,7210.58,resolved,"₹6,620.00",resolved,0,1
PR000246,2026-07-17,MANDI028,Fatehabad,Cotton,6944.79,7654.18,,,track3_price_and_msp.json,1,MANDI028,normalized,कपास,"₹6,944.79",resolved,7654.18,resolved,"Rs. 7,299",invalid_numeric,,empty,0,0
PR010091,09.01.2026,MANDI011,Jalandhar,REQUIRES_INVESTIGATION,,2013.18,1935.06,2183.0,track3_price_and_msp.json,2,MANDI011,normalized,Dhaan,"Rs. 1,857",invalid_numeric,2013.18,resolved,"₹1,935.06",resolved,"INR 2,183",resolved,0,0
PR000982,2026/05/24,MANDI012,Ferozepur,Corn,1873.34,,,,track3_price_and_msp.json,3,M012,normalized,corn,"₹1,873.34",resolved,"Rs. 1,986",invalid_numeric,"Rs. 1,930",invalid_numeric,"Rs. 2,090",invalid_numeric,0,0
PR001708,18/08/2026,MANDI013,Karnal,Cotton,5878.62,6574.283051769212,6226.45,,track3_price_and_msp.json,4,013,normalized,Cotton,"5,878.62/-",resolved,6574.283051769212,resolved,6226.45,resolved,"Rs. 6,620",invalid_numeric,0,0
PR004312,01-24-2026,MANDI001,Patiala,Cotton,,7324.58,,6620.0,track3_price_and_msp.json,5,MANDI001,normalized,Kapas,,empty,"₹7,324.58",resolved,,empty,"6,620.00/-",resolved,0,0
PR000288,08-Aug-2026,MANDI031,Hisar,Wheat,2270.14,2823.4429693584902,2546.79,2275.0,track3_price_and_msp.json,6,M031,normalized,Kanak,"₹2,270.14",resolved,2823.4429693584902,resolved,"2,546.79/-",resolved,"₹2,275.00",resolved,0,0
PR002536,2026-01-06,MANDI036,Kurukshetra,Wheat,1961.63,,2151.0,2275.0,track3_price_and_msp.json,7,M036,normalized,WHEAT,"₹1,961.63",resolved,"Rs. 2,340",invalid_numeric,"INR 2,151",resolved,2275,resolved,0,0
PR009427,12-Aug-2026,MANDI050,,Wheat,2277.53,2458.0,2367.64,2275.0,track3_price_and_msp.json,8,MANDI-050,normalized,Gehun,2277.53,resolved,"INR 2,458",resolved,"₹2,367.64",resolved,"2,275.00/-",resolved,0,0
PR003418,09.02.2026,MANDI011,Ambala,Sugarcane,3156.94,3890.02,,,track3_price_and_msp.json,9,M011,normalized,गन्ना,"₹3,156.94",resolved,3890.02,resolved,,empty,"Rs. 3,500",invalid_numeric,0,0
PR001250,10/02/2026,MANDI002,Ambala,Corn,,2193.0,,,track3_price_and_msp.json,10,MANDI002,normalized,corn,"Rs. 1,866",invalid_numeric,"INR 2,193",resolved,"Rs. 2,029",invalid_numeric,"Rs. 2,090",invalid_numeric,0,0
PR008959,24.06.2026,MANDI057,,Mustard,,,,,track3_price_and_msp.json,11,mandi_057,normalized,सरसों,,empty,"Rs. 6,850",invalid_numeric,"Rs. 6,290",invalid_numeric,"Rs. 5,650",invalid_numeric,0,1
PR004344,2026-04-14,MANDI040,Amritsar,REQUIRES_INVESTIGATION,1989.0202736774606,2138.04,2063.53,2183.0,track3_price_and_msp.json,12,mandi_040,normalized,Dhaan,1989.0202736774606,resolved,"2,138.04/-",resolved,"₹2,063.53",resolved,2183,resolved,0,0
PR008040,25-Jun-2026,MANDI053,Ludhiana,Wheat,2016.0,,2158.4,,track3_price_and_msp.json,13,MANDI053,normalized,Kanak,"INR 2,016",resolved,"Rs. 2,300",invalid_numeric,2158.4,resolved,"Rs. 2,275",invalid_numeric,0,0
PR002773,06/04/2026,MANDI050,Ambala,REQUIRES_INVESTIGATION,3391.89,4215.91,3804.0,,track3_price_and_msp.json,14,mandi_050,normalized,Ganna,"₹3,391.89",resolved,"₹4,215.91",resolved,"INR 3,804",resolved,"Rs. 3,500",invalid_numeric,0,0
PR007582,24.01.2026,MANDI043,Ferozepur,REQUIRES_INVESTIGATION,,2521.03,2303.861807881144,2183.0,track3_price_and_msp.json,15,M043,normalized,Dhaan,,empty,2521.03,resolved,2303.861807881144,resolved,"₹2,183.00",resolved,0,0
PR001390,06-17-2026,MANDI026,Patiala,Sugarcane,3661.39,4282.71,3972.05,,track3_price_and_msp.json,16,MANDI026,normalized,Sugarcane,"₹3,661.39",resolved,4282.71,resolved,3972.05,resolved,"Rs. 3,500",invalid_numeric,0,0
PR011220,17/01/2026,MANDI010,Bathinda,Cotton,6054.0,7147.5,,6620.0,track3_price_and_msp.json,17,MANDI-010,normalized,Kapas,"INR 6,054",resolved,7147.5,resolved,"Rs. 6,601",invalid_numeric,6620,resolved,0,0
PR008656,26/03/2026,MANDI005,Patiala,REQUIRES_INVESTIGATION,2172.99,2312.15,,,track3_price_and_msp.json,18,mandi005,normalized,Basmati,2172.99,resolved,"2,312.15/-",resolved,,empty,,empty,0,0
PR000719,2026-04-29,,Kurukshetra,Corn,1878.0,2114.21,,2090.0,track3_price_and_msp.json,19,,missing,Makka,"INR 1,878",resolved,2114.21,resolved,,empty,"₹2,090.00",resolved,1,0
PR005849,2026/01/23,MANDI016,Patiala,Cotton,,7364.56,6918.61,,track3_price_and_msp.json,20,MANDI016,normalized,cotton,"Rs. 6,473",invalid_numeric,7364.56,resolved,"₹6,918.61",resolved,"Rs. 6,620",invalid_numeric,0,0
PR007394,25.03.2026,MANDI024,Karnal,Sugarcane,3074.76,3382.79,,3500.0,track3_price_and_msp.json,21,MANDI024,normalized,sugarcane,"₹3,074.76",resolved,3382.79,resolved,"Rs. 3,229",invalid_numeric,"₹3,500.00",resolved,0,0
PR004644,2026/05/25,MANDI026,,Mustard,5725.0,6263.77,5994.455824860666,5650.0,track3_price_and_msp.json,22,026,normalized,mustard,"INR 5,725",resolved,"₹6,263.77",resolved,5994.455824860666,resolved,5650,resolved,0,1
PR002514,21/07/2026,MANDI007,Hisar,Corn,1988.4744912268284,2299.86,2144.167343486675,2090.0,track3_price_and_msp.json,23,MANDI007,normalized,corn,1988.4744912268284,resolved,"2,299.86/-",resolved,2144.167343486675,resolved,"INR 2,090",resolved,0,0
PR010213,02-17-2026,MANDI043,Jalandhar,Wheat,,2157.0,2057.3,2275.0,track3_price_and_msp.json,24,mandi_043,normalized,wheat,"Rs. 1,958",invalid_numeric,"INR 2,157",resolved,"2,057.30/-",resolved,2275,resolved,0,0
PR011212,31-May-2026,MANDI008,,Sugarcane,3280.592160219738,4064.73,3672.66,3500.0,track3_price_and_msp.json,25,MANDI008,normalized,sugarcane,3280.592160219738,resolved,4064.73,resolved,"₹3,672.66",resolved,"INR 3,500",resolved,0,1
PR011958,02/04/2026,,Bathinda,Wheat,2215.53,2450.04,2332.79,2275.0,track3_price_and_msp.json,26,,missing,Kanak,"₹2,215.53",resolved,"2,450.04/-",resolved,2332.79,resolved,2275,resolved,1,0
PR002913,08.08.2026,MANDI027,Sirsa,Mustard,5826.290509325942,6273.0,6049.51,5650.0,track3_price_and_msp.json,27,MANDI-027,normalized,Mustard,5826.290509325942,resolved,"INR 6,273",resolved,6049.51,resolved,"INR 5,650",resolved,0,0
PR000358,31/01/2026,MANDI030,Ludhiana,Corn,1867.38,,,2090.0,track3_price_and_msp.json,28,MANDI030,normalized,Corn,"₹1,867.38",resolved,,empty,"Rs. 1,949",invalid_numeric,"2,090.00/-",resolved,0,0
PR008575,20/07/2026,,Moga,Sugarcane,3509.61,,3932.8,,track3_price_and_msp.json,29,,missing,Ganne,"₹3,509.61",resolved,"Rs. 4,356",invalid_numeric,3932.8,resolved,,empty,1,0
PR010458,2026/01/10,,Bathinda,Cotton,,6650.37,6138.929109845614,6620.0,track3_price_and_msp.json,30,,missing,Kapas,"Rs. 5,627",invalid_numeric,"6,650.37/-",resolved,6138.929109845614,resolved,6620,resolved,1,0
PR000951,25.06.2026,MANDI056,Hisar,REQUIRES_INVESTIGATION,2226.17,,,2183.0,track3_price_and_msp.json,31,MANDI-056,normalized,Dhaan,2226.17,resolved,"Rs. 2,525",invalid_numeric,"Rs. 2,376",invalid_numeric,2183,resolved,0,0
PR002105,01-20-2026,MANDI039,Kurukshetra,Cotton,6155.47,6702.0,6428.56,6620.0,track3_price_and_msp.json,32,mandi_039,normalized,Kapas,"₹6,155.47",resolved,"INR 6,702",resolved,6428.56,resolved,"₹6,620.00",resolved,0,0
PR007951,02/01/2026,MANDI024,Kurukshetra,REQUIRES_INVESTIGATION,2174.42,2348.9471523051525,2262.0,,track3_price_and_msp.json,33,M024,normalized,Maize,"2,174.42/-",resolved,2348.9471523051525,resolved,"INR 2,262",resolved,,empty,0,0
PR001266,2026/04/25,MANDI019,Fatehabad,REQUIRES_INVESTIGATION,,,3873.0,3500.0,track3_price_and_msp.json,34,MANDI019,normalized,Ganna,"Rs. 3,500",invalid_numeric,"Rs. 4,245",invalid_numeric,"INR 3,873",resolved,3500,resolved,0,0
PR006089,02.03.2026,MANDI046,Ferozepur,Mustard,5142.95,5632.66,5387.81,5650.0,track3_price_and_msp.json,35,mandi_046,normalized,Mustard,5142.95,resolved,"₹5,632.66",resolved,"₹5,387.81",resolved,5650,resolved,0,0
