trip_id,mandi_id,destination_warehouse,departure_time,arrival_time,transit_hours,distance,distance_unit,vehicle_no,driver_id,source_file,row_index_raw,mandi_id_raw,mandi_id_status,distance_raw,distance_km,distance_unit_extracted,distance_status,distance_unit_unresolvable,transit_hours_raw,negative_transit_flag,transit_hours_clean,vehicle_no_raw,vehicle_no_clean,missing_vehicle_no,missing_driver_id,missing_arrival_time,is_duplicate
TRP006374,MANDI050,WH-Central,2026-04-30T20:08:22,01/05/2026 05:26,9.3,305.714532,miles,,DRV264,track3_transport_logistics.csv,0,MANDI050,normalized,305.714532,305.714532,,no_unit,0,9.3,0,9.3,,,1,0,0,0
TRP008869,MANDI029,WH-West,04-10-2026 04:15 AM,10/04/2026 09:51,,263.5,km,,DRV540,track3_transport_logistics.csv,1,MANDI029,normalized,263.5,263.5,,no_unit,0,,0,,,,1,0,0,0
TRP000674,MANDI024,WH-South,18/07/2026 16:34,07-18-2026 10:46 PM,6.2,276.5,km,UP 50 BC 6882,DRV722,track3_transport_logistics.csv,2,MANDI024,normalized,276.5,276.5,,no_unit,0,6.2,0,6.2,UP 50 BC 6882,UP-50-BC-6882,0,0,0,0
TRP000036,MANDI042,WH-Central,08-13-2026 06:21 AM,14/08/2026,19.7,1070.7,km,RJ-52-CD-3274,DRV103,track3_transport_logistics.csv,3,MANDI-042,normalized,1070.7,1070.7,,no_unit,0,19.7,0,19.7,RJ-52-CD-3274,RJ-52-CD-3274,0,0,0,0
TRP008288,MANDI019,WH-South,07-30-2026 10:51 PM,07-31-2026 03:57 PM,17.1,728.9,km,DL-73-DF-1458,,track3_transport_logistics.csv,4,mandi_019,normalized,728.9,728.9,,no_unit,0,17.1,0,17.1,DL-73-DF-1458,DL-73-DF-1458,0,1,0,0
TRP003456,MANDI038,Export-Terminal,07-25-2026 08:53 PM,,7.3,417.0,km,UP97-BC-6135,DRV255,track3_transport_logistics.csv,5,038,normalized,417.0,417.0,,no_unit,0,7.3,0,7.3,UP97-BC-6135,UP97-BC-6135,0,0,1,0
TRP005236,MANDI041,WH-West,2026-07-05 07:34:30,05/07/2026 22:28,14.9,671.9,km,PB-99-BC-2796,DRV297,track3_transport_logistics.csv,6,mandi041,normalized,671.9,671.9,,no_unit,0,14.9,0,14.9,PB-99-BC-2796,PB-99-BC-2796,0,0,0,0
TRP007075,MANDI023,WH-West,19/06/2026,2026-06-19T22:01:06,6.4,362.6,km,pb 48-DF-3590,,track3_transport_logistics.csv,7,023,normalized,362.6,362.6,,no_unit,0,6.4,0,6.4,pb 48-DF-3590,PB-48-DF-3590,0,1,0,0
TRP002222,MANDI033,WH-North,02-May-2026 10:12:36,02/05/2026 22:12,12.0,549.5,km,DL55-BC-7556,DRV662,track3_transport_logistics.csv,8,mandi_033,normalized,549.5,549.5,,no_unit,0,12.0,0,12.0,DL55-BC-7556,DL55-BC-7556,0,0,0,0
TRP004565,MANDI054,WH-West,05/09/2026 10:36,05/09/2026 20:00,9.4,424.8,km,PB 83 DF 2210,DRV201,track3_transport_logistics.csv,9,MANDI054,normalized,424.8,424.8,,no_unit,0,9.4,0,9.4,PB 83 DF 2210,PB-83-DF-2210,0,0,0,0
TRP008152,MANDI019,WH-Central,02/05/2026 09:15,02/05/2026 18:45,9.5,553.3,km,PB 53 AB 4593,DRV920,track3_transport_logistics.csv,10,mandi_019,normalized,553.3,553.3,,no_unit,0,9.5,0,9.5,PB 53 AB 4593,PB-53-AB-4593,0,0,0,0
TRP000484,MANDI018,Export-Terminal,02-Aug-2026 03:53:48,02-Aug-2026 19:35:48,15.7,798.0,km,PB-65-AB-4841,,track3_transport_logistics.csv,11,mandi_018,normalized,798.0,798.0,,no_unit,0,15.7,0,15.7,PB-65-AB-4841,PB-65-AB-4841,0,1,0,0
