sensor_id,timestamp,temperature,temp_unit,rainfall,rain_unit,humidity_percent,source_file,row_index_raw,temperature_raw,temp_unit_raw,temperature_celsius,temp_conversion_status,rainfall_raw,rain_unit_raw,rainfall_mm,rain_conversion_status,negative_rainfall_flag,missing_timestamp,missing_humidity
SEN047,28/08/2026,68,f,43.8,mm,46.0,track3_weather_sensors.xlsx,0,68,f,20.0,fahrenheit,43.8,mm,43.8,mm,0,0,0
SEN034,2026-07-03 07:08:18 IST,85.3,°F,1.88,in,55.0,track3_weather_sensors.xlsx,1,85.3,°F,29.61111111111111,fahrenheit,1.88,in,47.751999999999995,inches,0,0,0
SEN020,,18.9,Celsius,19.9,MM,,track3_weather_sensors.xlsx,2,18.9,Celsius,18.9,celsius,19.9,MM,19.9,mm,0,1,1
SEN035,2026-07-09 11:08:41 UTC,71.8,Fahrenheit,0.91,inch,49.0,track3_weather_sensors.xlsx,3,71.8,Fahrenheit,22.11111111111111,fahrenheit,0.91,inch,23.114,inches,0,0,0
SEN048,2026-06-09 13:06:26 IST,39.8°C,,43.9,mm,81.0,track3_weather_sensors.xlsx,4,39.8°C,,39.8,embedded_celsius,43.9,mm,43.9,mm,0,0,0
SEN035,17/03/2026,21.8°C,,28.9,MM,47.0,track3_weather_sensors.xlsx,5,21.8°C,,21.8,embedded_celsius,28.9,MM,28.9,mm,0,0,0
SEN013,07-01-2026 05:48 PM,75,f,32.4,mm,43.0,track3_weather_sensors.xlsx,6,75,f,23.88888888888889,fahrenheit,32.4,mm,32.4,mm,0,0,0
SEN040,2026-06-12 09:52:51 IST,92.5,°F,,,92.0,track3_weather_sensors.xlsx,7,92.5,°F,33.611111111111114,fahrenheit,,,,missing_rain,0,0,0
SEN027,2026-06-02 16:00:04 UTC,22.1,°C,-48.1,mm,36.0,track3_weather_sensors.xlsx,8,22.1,°C,22.1,celsius,-48.1,mm,,negative,1,0,0
SEN034,,30.3°C,,,,51.0,track3_weather_sensors.xlsx,9,30.3°C,,30.3,embedded_celsius,,,,missing_rain,0,1,0
SEN031,2026-08-23 07:42:11 IST,16.6,c,32.4,MM,38.0,track3_weather_sensors.xlsx,10,16.6,c,16.6,celsius,32.4,MM,32.4,mm,0,0,0
SEN045,2026-09-08 14:45:54 UTC,102.2,F,42.1,millimeters,41.0,track3_weather_sensors.xlsx,11,102.2,F,39.0,fahrenheit,42.1,millimeters,42.1,mm,0,0,0
SEN011,2026-03-25 23:52:33 UTC,29.9,C,16.2,millimeters,32.0,track3_weather_sensors.xlsx,12,29.9,C,29.9,celsius,16.2,millimeters,16.2,mm,0,0,0
SEN004,08-27-2026 04:59 PM,66.9,f,42.3,mm,35.0,track3_weather_sensors.xlsx,13,66.9,f,19.388888888888893,fahrenheit,42.3,mm,42.3,mm,0,0,0
SEN020,2026-02-02 07:59:44 IST,73.2,F,16.0,millimeters,,track3_weather_sensors.xlsx,14,73.2,F,22.88888888888889,fahrenheit,16.0,millimeters,16.0,mm,0,0,1
SEN026,2026-03-21 12:06:58 UTC,102.4,Fahrenheit,13.7,millimeters,80.0,track3_weather_sensors.xlsx,15,102.4,Fahrenheit,39.111111111111114,fahrenheit,13.7,millimeters,13.7,mm,0,0,0
SEN020,2026-09-07 16:45:42 IST,67.6,f,-42.0,mm,39.0,track3_weather_sensors.xlsx,16,67.6,f,19.777777777777775,fahrenheit,-42.0,mm,,negative,1,0,0
SEN047,2026-04-09 17:24:04 UTC,29.8,°C,45.0,MM,53.0,track3_weather_sensors.xlsx,17,29.8,°C,29.8,celsius,45.0,MM,45.0,mm,0,0,0
SEN035,2026-08-30 05:45:31 IST,31.8°C,,-7.3,mm,52.0,track3_weather_sensors.xlsx,18,31.8°C,,31.8,embedded_celsius,-7.3,mm,,negative,1,0,0
UNKNOWN,2026-07-28T05:02:48,29.1,Celsius,34.3,millimeters,75.0,track3_weather_sensors.xlsx,19,29.1,Celsius,29.1,celsius,34.3,millimeters,34.3,mm,0,0,0
SEN032,2026-02-07 08:54:43 UTC,31.3,Celsius,6.2,mm,38.0,track3_weather_sensors.xlsx,20,31.3,Celsius,31.3,celsius,6.2,mm,6.2,mm,0,0,0
SEN046,2026-02-22 21:45:12 IST,30,Celsius,1.6,mm,86.0,track3_weather_sensors.xlsx,21,30,Celsius,30.0,celsius,1.6,mm,1.6,mm,0,0,0
SEN021,2026-03-10T23:45:39,24.6°C,,-15.9,mm,80.0,track3_weather_sensors.xlsx,22,24.6°C,,24.6,embedded_celsius,-15.9,mm,,negative,1,0,0
SEN042,2026-04-02 05:04:58 IST,97.9,f,0.23,inches,63.0,track3_weather_sensors.xlsx,23,97.9,f,36.611111111111114,fahrenheit,0.23,inches,5.842,inches,0,0,0
SEN042,,60.3,F,,,89.0,track3_weather_sensors.xlsx,24,60.3,F,15.722222222222221,fahrenheit,,,,missing_rain,0,1,0
SEN043,2026-03-01 15:38:44 UTC,37.8,C,,,44.0,track3_weather_sensors.xlsx,25,37.8,C,37.8,celsius,,,,missing_rain,0,0,0
SEN042,2026-07-07 09:27:47 IST,33.4,C,0.78,in,38.0,track3_weather_sensors.xlsx,26,33.4,C,33.4,celsius,0.78,in,19.812,inches,0,0,0
SEN013,2026-05-23 18:27:41 IST,28.3,°C,12.4,MM,56.0,track3_weather_sensors.xlsx,27,28.3,°C,28.3,celsius,12.4,MM,12.4,mm,0,0,0
SEN021,2026-02-25 19:23:43 UTC,28.4°C,,32.5,MM,78.0,track3_weather_sensors.xlsx,28,28.4°C,,28.4,embedded_celsius,32.5,MM,32.5,mm,0,0,0
SEN049,2026-04-24 18:47:44 IST,33.6,°C,7.2,millimeters,80.0,track3_weather_sensors.xlsx,29,33.6,°C,33.6,celsius,7.2,millimeters,7.2,mm,0,0,0
SEN006,2026-01-02 09:31:50 IST,21.7,°C,7.2,millimeters,82.0,track3_weather_sensors.xlsx,30,21.7,°C,21.7,celsius,7.2,millimeters,7.2,mm,0,0,0
SEN041,,82.8,°F,-26.3,mm,33.0,track3_weather_sensors.xlsx,31,82.8,°F,28.22222222222222,fahrenheit,-26.3,mm,,negative,1,1,0
SEN035,2026-05-05 03:28:20 UTC,37.6°C,,28.4,mm,48.0,track3_weather_sensors.xlsx,32,37.6°C,,37.6,embedded_celsius,28.4,mm,28.4,mm,0,0,0
SEN050,2026-02-09 18:25:06 IST,68.9,F,21.5,millimeters,40.0,track3_weather_sensors.xlsx,33,68.9,F,20.500000000000004,fahrenheit,21.5,millimeters,21.5,mm,0,0,0
SEN002,2026-07-06 04:29:39 UTC,95.2,Fahrenheit,-40.2,mm,73.0,track3_weather_sensors.xlsx,34,95.2,Fahrenheit,35.111111111111114,fahrenheit,-40.2,mm,,negative,1,0,0
SEN007,2026-08-19 21:08:23 UTC,23.1,C,1.84,in,62.0,track3_weather_sensors.xlsx,35,23.1,C,23.1,celsius,1.84,in,46.736,inches,0,0,0
SEN005,,91.4,f,1.58,inch,80.0,track3_weather_sensors.xlsx,36,91.4,f,33.0,fahrenheit,1.58,inch,40.132,inches,0,1,0
SEN029,2026-05-13 03:32:20 UTC,82.4,f,0.67,inch,94.0,track3_weather_sensors.xlsx,37,82.4,f,28.000000000000004,fahrenheit,0.67,inch,17.018,inches,0,0,0
SEN022,2026-06-07 21:06:11 UTC,70.5,°F,0.57,inch,60.0,track3_weather_sensors.xlsx,38,70.5,°F,21.38888888888889,fahrenheit,0.57,inch,14.477999999999998,inches,0,0,0
SEN015,2026-02-21 12:03:50,78.4,f,14.9,mm,87.0,track3_weather_sensors.xlsx,39,78.4,f,25.777777777777782,fahrenheit,14.9,mm,14.9,mm,0,0,0
SEN012,2026-03-15 07:21:07 UTC,59.9,f,1.28,in,94.0,track3_weather_sensors.xlsx,40,59.9,f,15.5,fahrenheit,1.28,in,32.512,inches,0,0,0
SEN029,2026-01-31 20:48:03 IST,71.4,F,,,69.0,track3_weather_sensors.xlsx,41,71.4,F,21.888888888888893,fahrenheit,,,,missing_rain,0,0,0
SEN043,2026-08-23 15:21:41 IST,33.6,C,27.4,millimeters,76.0,track3_weather_sensors.xlsx,42,33.6,C,33.6,celsius,27.4,millimeters,27.4,mm,0,0,0
SEN023,2026-04-13 16:20:56 UTC,18.4,°C,1.7,inch,50.0,track3_weather_sensors.xlsx,43,18.4,°C,18.4,celsius,1.7,inch,43.18,inches,0,0,0
SEN038,,23.7,c,45.5,mm,92.0,track3_weather_sensors.xlsx,44,23.7,c,23.7,celsius,45.5,mm,45.5,mm,0,1,0
SEN010,,72.5,°F,11.4,MM,80.0,track3_weather_sensors.xlsx,45,72.5,°F,22.5,fahrenheit,11.4,MM,11.4,mm,0,1,0
UNKNOWN,2026-04-05 13:30:02 UTC,30.9,Celsius,1.01,in,,track3_weather_sensors.xlsx,46,30.9,Celsius,30.9,celsius,1.01,in,25.654,inches,0,0,1
SEN003,01/06/2026 20:19,79.9,f,29.4,millimeters,47.0,track3_weather_sensors.xlsx,47,79.9,f,26.611111111111114,fahrenheit,29.4,millimeters,29.4,mm,0,0,0
SEN046,2026-05-19 06:18:45 UTC,29.3,C,-15.0,mm,36.0,track3_weather_sensors.xlsx,48,29.3,C,29.3,celsius,-15.0,mm,,negative,1,0,0
SEN016,,26.7,c,5.2,millimeters,89.0,track3_weather_sensors.xlsx,49,26.7,c,26.7,celsius,5.2,millimeters,5.2,mm,0,1,0
SEN034,2026-04-13 08:56:28 IST,39.9,Celsius,1.08,inches,59.0,track3_weather_sensors.xlsx,50,39.9,Celsius,39.9,celsius,1.08,inches,27.432,inches,0,0,0
SEN002,,22.7,c,1.92,inches,57.0,track3_weather_sensors.xlsx,51,22.7,c,22.7,celsius,1.92,inches,48.767999999999994,inches,0,1,0
SEN017,2026-05-30 14:33:23 UTC,19.6,c,-2.7,mm,77.0,track3_weather_sensors.xlsx,52,19.6,c,19.6,celsius,-2.7,mm,,negative,1,0,0
UNKNOWN,2026-08-09 02:39:44 UTC,74.1,F,10.6,millimeters,52.0,track3_weather_sensors.xlsx,53,74.1,F,23.388888888888886,fahrenheit,10.6,millimeters,10.6,mm,0,0,0
UNKNOWN,2026-01-16T04:29:54,23.1,Celsius,0.99,inches,59.0,track3_weather_sensors.xlsx,54,23.1,Celsius,23.1,celsius,0.99,inches,25.145999999999997,inches,0,0,0
SEN043,12-Aug-2026 16:58:44,101.7,f,0.07,inches,44.0,track3_weather_sensors.xlsx,55,101.7,f,38.72222222222222,fahrenheit,0.07,inches,1.778,inches,0,0,0
SEN035,2026-06-25 06:49:35 IST,38.6,C,3.7,MM,32.0,track3_weather_sensors.xlsx,56,38.6,C,38.6,celsius,3.7,MM,3.7,mm,0,0,0
SEN047,2026-08-18 07:10:40 IST,21.5,Celsius,19.2,millimeters,84.0,track3_weather_sensors.xlsx,57,21.5,Celsius,21.5,celsius,19.2,millimeters,19.2,mm,0,0,0
SEN004,,38.6°C,,4.3,millimeters,85.0,track3_weather_sensors.xlsx,58,38.6°C,,38.6,embedded_celsius,4.3,millimeters,4.3,mm,0,1,0
SEN041,2026-06-19 03:04:08 IST,35.6°C,,1.7,inches,37.0,track3_weather_sensors.xlsx,59,35.6°C,,35.6,embedded_celsius,1.7,inches,43.18,inches,0,0,0
SEN020,2026-05-14 19:32:31 UTC,31.2°C,,1.3,inches,94.0,track3_weather_sensors.xlsx,60,31.2°C,,31.2,embedded_celsius,1.3,inches,33.019999999999996,inches,0,0,0
SEN030,2026-05-22 10:10:01 UTC,19.8,c,-19.7,mm,72.0,track3_weather_sensors.xlsx,61,19.8,c,19.8,celsius,-19.7,mm,,negative,1,0,0
SEN023,2026-01-13 11:34:32 UTC,35.8,C,28.0,MM,58.0,track3_weather_sensors.xlsx,62,35.8,C,35.8,celsius,28.0,MM,28.0,mm,0,0,0
SEN009,2026-07-15 22:03:55 UTC,24.8,C,0.8,millimeters,81.0,track3_weather_sensors.xlsx,63,24.8,C,24.8,celsius,0.8,millimeters,0.8,mm,0,0,0
SEN044,,63.1,f,16.4,MM,82.0,track3_weather_sensors.xlsx,64,63.1,f,17.27777777777778,fahrenheit,16.4,MM,16.4,mm,0,1,0
SEN041,07-30-2026 10:15 AM,84.9,°F,1.96,in,91.0,track3_weather_sensors.xlsx,65,84.9,°F,29.38888888888889,fahrenheit,1.96,in,49.784,inches,0,0,0
SEN027,2026-05-27 08:13:39 UTC,23.0°C,,17.8,MM,55.0,track3_weather_sensors.xlsx,66,23.0°C,,23.0,embedded_celsius,17.8,MM,17.8,mm,0,0,0
SEN040,05/01/2026 03:10,28,°C,0.72,in,72.0,track3_weather_sensors.xlsx,67,28,°C,28.0,celsius,0.72,in,18.287999999999997,inches,0,0,0
UNKNOWN,,77,f,0.5,MM,82.0,track3_weather_sensors.xlsx,68,77,f,25.0,fahrenheit,0.5,MM,0.5,mm,0,1,0
SEN002,2026-02-23 20:07:57 IST,30.5,C,7.2,MM,59.0,track3_weather_sensors.xlsx,69,30.5,C,30.5,celsius,7.2,MM,7.2,mm,0,0,0
SEN015,2026-05-08 23:46:42 UTC,88.3,F,0.61,in,80.0,track3_weather_sensors.xlsx,70,88.3,F,31.27777777777778,fahrenheit,0.61,in,15.493999999999998,inches,0,0,0
SEN001,,22.4°C,,16.5,mm,94.0,track3_weather_sensors.xlsx,71,22.4°C,,22.4,embedded_celsius,16.5,mm,16.5,mm,0,1,0
SEN007,08/03/2026,21.9,Celsius,-2.4,mm,90.0,track3_weather_sensors.xlsx,72,21.9,Celsius,21.9,celsius,-2.4,mm,,negative,1,0,0
SEN023,2026-03-04 12:02:44 IST,89.6,°F,36.5,MM,49.0,track3_weather_sensors.xlsx,73,89.6,°F,32.0,fahrenheit,36.5,MM,36.5,mm,0,0,0
SEN001,2026-02-07 17:29:24 IST,99.7,Fahrenheit,25.6,mm,75.0,track3_weather_sensors.xlsx,74,99.7,Fahrenheit,37.611111111111114,fahrenheit,25.6,mm,25.6,mm,0,0,0
SEN031,,24.1,Celsius,20.7,mm,90.0,track3_weather_sensors.xlsx,75,24.1,Celsius,24.1,celsius,20.7,mm,20.7,mm,0,1,0
SEN004,,86,f,,,63.0,track3_weather_sensors.xlsx,76,86,f,30.0,fahrenheit,,,,missing_rain,0,1,0
SEN028,2026-06-11 12:01:26 IST,101.7,°F,1.54,inches,58.0,track3_weather_sensors.xlsx,77,101.7,°F,38.72222222222222,fahrenheit,1.54,inches,39.116,inches,0,0,0
UNKNOWN,2026-03-25 12:03:29 IST,26.7°C,,0.6,MM,67.0,track3_weather_sensors.xlsx,78,26.7°C,,26.7,embedded_celsius,0.6,MM,0.6,mm,0,0,0
SEN010,2026-05-15 18:40:32 UTC,17.2,°C,-46.5,mm,53.0,track3_weather_sensors.xlsx,79,17.2,°C,17.2,celsius,-46.5,mm,,negative,1,0,0
UNKNOWN,2026-04-04 19:31:23 IST,100.2,F,18.6,mm,,track3_weather_sensors.xlsx,80,100.2,F,37.888888888888886,fahrenheit,18.6,mm,18.6,mm,0,0,1
SEN014,2026-02-08 01:10:37 IST,95.4,F,41.3,MM,39.0,track3_weather_sensors.xlsx,81,95.4,F,35.22222222222222,fahrenheit,41.3,MM,41.3,mm,0,0,0
SEN005,03-01-2026 07:48 AM,24.9,C,0.48,inches,68.0,track3_weather_sensors.xlsx,82,24.9,C,24.9,celsius,0.48,inches,12.191999999999998,inches,0,0,0
SEN010,2026-08-06 02:21:52 IST,22.1°C,,26.0,millimeters,50.0,track3_weather_sensors.xlsx,83,22.1°C,,22.1,embedded_celsius,26.0,millimeters,26.0,mm,0,0,0
