raw_crop_name,canonical_crop_name,mapping_method,mapping_status
Basmati,REQUIRES_INVESTIGATION,ungrouped,unresolved
Chawal,REQUIRES_INVESTIGATION,ungrouped,unresolved
Corn,Corn,explicit,confirmed
Cotton,Cotton,explicit,confirmed
Dhaan,REQUIRES_INVESTIGATION,ungrouped,unresolved
GEHUN,Wheat,explicit,confirmed
Ganna,REQUIRES_INVESTIGATION,ungrouped,unresolved
Ganne,Sugarcane,explicit,confirmed
Gehun,Wheat,explicit,confirmed
Kanak,Wheat,explicit,confirmed
Kapas,Cotton,explicit,confirmed
Maize,REQUIRES_INVESTIGATION,ungrouped,unresolved
Makka,Corn,explicit,confirmed
Makki,Corn,explicit,confirmed
Mustard,Mustard,explicit,confirmed
Narma,Cotton,explicit,confirmed
Paddy,Paddy,explicit,confirmed
Rice,Paddy,explicit,confirmed
Sarso,Mustard,explicit,confirmed
Sarson,REQUIRES_INVESTIGATION,ungrouped,unresolved
Sugarcane,Sugarcane,explicit,confirmed
WHEAT,Wheat,explicit,confirmed
Wheat,Wheat,explicit,confirmed
corn,Corn,explicit,confirmed
cotton,Cotton,explicit,confirmed
mustard,Mustard,explicit,confirmed
paddy,Paddy,explicit,confirmed
sugarcane,Sugarcane,explicit,confirmed
wheat,Wheat,explicit,confirmed
कपास,Cotton,explicit,confirmed
गन्ना,Sugarcane,explicit,confirmed
गेहूं,Wheat,explicit,confirmed
चावल,REQUIRES_INVESTIGATION,ungrouped,unresolved
धान,REQUIRES_INVESTIGATION,ungrouped,unresolved
मक्का,REQUIRES_INVESTIGATION,ungrouped,unresolved
सरसों,Mustard,explicit,confirmed
