raw_mandi_id,canonical_mandi_id,mapping_method,mapping_status
001,MANDI001,regex_digit_extraction,normalized
002,MANDI002,regex_digit_extraction,normalized
003,MANDI003,regex_digit_extraction,normalized
004,MANDI004,regex_digit_extraction,normalized
005,MANDI005,regex_digit_extraction,normalized
006,MANDI006,regex_digit_extraction,normalized
007,MANDI007,regex_digit_extraction,normalized
008,MANDI008,regex_digit_extraction,normalized
009,MANDI009,regex_digit_extraction,normalized
010,MANDI010,regex_digit_extraction,normalized
011,MANDI011,regex_digit_extraction,normalized
012,MANDI012,regex_digit_extraction,normalized
013,MANDI013,regex_digit_extraction,normalized
014,MANDI014,regex_digit_extraction,normalized
015,MANDI015,regex_digit_extraction,normalized
016,MANDI016,regex_digit_extraction,normalized
017,MANDI017,regex_digit_extraction,normalized
018,MANDI018,regex_digit_extraction,normalized
019,MANDI019,regex_digit_extraction,normalized
020,MANDI020,regex_digit_extraction,normalized
021,MANDI021,regex_digit_extraction,normalized
022,MANDI022,regex_digit_extraction,normalized
023,MANDI023,regex_digit_extraction,normalized
024,MANDI024,regex_digit_extraction,normalized
025,MANDI025,regex_digit_extraction,normalized
026,MANDI026,regex_digit_extraction,normalized
027,MANDI027,regex_digit_extraction,normalized
028,MANDI028,regex_digit_extraction,normalized
029,MANDI029,regex_digit_extraction,normalized
030,MANDI030,regex_digit_extraction,normalized
031,MANDI031,regex_digit_extraction,normalized
032,MANDI032,regex_digit_extraction,normalized
033,MANDI033,regex_digit_extraction,normalized
034,MANDI034,regex_digit_extraction,normalized
035,MANDI035,regex_digit_extraction,normalized
036,MANDI036,regex_digit_extraction,normalized
037,MANDI037,regex_digit_extraction,normalized
038,MANDI038,regex_digit_extraction,normalized
039,MANDI039,regex_digit_extraction,normalized
040,MANDI040,regex_digit_extraction,normalized
041,MANDI041,regex_digit_extraction,normalized
042,MANDI042,regex_digit_extraction,normalized
043,MANDI043,regex_digit_extraction,normalized
044,MANDI044,regex_digit_extraction,normalized
045,MANDI045,regex_digit_extraction,normalized
046,MANDI046,regex_digit_extraction,normalized
047,MANDI047,regex_digit_extraction,normalized
048,MANDI048,regex_digit_extraction,normalized
049,MANDI049,regex_digit_extraction,normalized
050,MANDI050,regex_digit_extraction,normalized
051,MANDI051,regex_digit_extraction,normalized
052,MANDI052,regex_digit_extraction,normalized
053,MANDI053,regex_digit_extraction,normalized
054,MANDI054,regex_digit_extraction,normalized
055,MANDI055,regex_digit_extraction,normalized
056,MANDI056,regex_digit_extraction,normalized
057,MANDI057,regex_digit_extraction,normalized
M001,MANDI001,regex_digit_extraction,normalized
M002,MANDI002,regex_digit_extraction,normalized
M003,MANDI003,regex_digit_extraction,normalized
M004,MANDI004,regex_digit_extraction,normalized
M005,MANDI005,regex_digit_extraction,normalized
M006,MANDI006,regex_digit_extraction,normalized
M007,MANDI007,regex_digit_extraction,normalized
M008,MANDI008,regex_digit_extraction,normalized
M009,MANDI009,regex_digit_extraction,normalized
M010,MANDI010,regex_digit_extraction,normalized
M011,MANDI011,regex_digit_extraction,normalized
M012,MANDI012,regex_digit_extraction,normalized
M013,MANDI013,regex_digit_extraction,normalized
M014,MANDI014,regex_digit_extraction,normalized
M015,MANDI015,regex_digit_extraction,normalized
M016,MANDI016,regex_digit_extraction,normalized
M017,MANDI017,regex_digit_extraction,normalized
M018,MANDI018,regex_digit_extraction,normalized
M019,MANDI019,regex_digit_extraction,normalized
M020,MANDI020,regex_digit_extraction,normalized
M021,MANDI021,regex_digit_extraction,normalized
M022,MANDI022,regex_digit_extraction,normalized
M023,MANDI023,regex_digit_extraction,normalized
M024,MANDI024,regex_digit_extraction,normalized
M025,MANDI025,regex_digit_extraction,normalized
M026,MANDI026,regex_digit_extraction,normalized
M027,MANDI027,regex_digit_extraction,normalized
M028,MANDI028,regex_digit_extraction,normalized
M029,MANDI029,regex_digit_extraction,normalized
M030,MANDI030,regex_digit_extraction,normalized
