arrival_id,date,mandi_id,crop_name,arrival_quantity,unit
ARR0022724,08-16-2026,056,Kanak,415.88 qtl,
ARR0022123,15/07/2026,MANDI045,Sarso,393.67 qtl,
ARR0015292,2026/07/15,MANDI037,wheat,"36,654.0 KG",
ARR0017190,01/08/2026,mandi_002,cotton,"22,697.0 KG",
ARR0018787,08-08-2026,mandi_044,paddy,336.73 qtl,
ARR0021131,2026-04-24,MANDI040,corn,309.07 qtl,
,2026/02/04,mandi_031,corn,431.25 qtl,
ARR0006030,2026-04-22,mandi033,Cotton,"43,655.0 KG",
ARR0015481,09/06/2026,mandi_028,Corn,"7,278.0 KG",
ARR0000197,05-20-2026,MANDI-001,Narma,76.9 qtl,
ARR0019272,05/03/2026,MANDI030,Sugarcane,"39,083.0 KG",
ARR0014184,12.02.2026,MANDI037,Mustard,"35,649.0 KG",
ARR0000398,25/03/2026,MANDI-029,Makki,20.63 qtl,
ARR0014214,21/02/2026,mandi031,Ganne,478.99 qtl,
ARR0003143,08-24-2026,034,Rice,401.5 qtl,
ARR0002948,18.02.2026,MANDI019,GEHUN,"12,646.0 KG",
ARR0009656,04-01-2026,mandi_018,गन्ना,"7,537.0 KG",
ARR0002899,2026-07-23,mandi_017,Narma,"41,341.0 KG",
ARR0009654,13/03/2026,MANDI030,sugarcane,"24,318.0 KG",
ARR0014621,2026-05-23,mandi056,sugarcane,"26,952.999999999996 KG",
